A0,PF6
A1,PF7
A2,PF8
A3,PF9
A4,PC3
D0,PB4
D1,PB8
D2,PC3
D3,PB6
D4,PB9
D5,PG12
D6,PA15
D7,PA4
D8,PB2
D9,PA9
D10,PB3
D11,PH1
D12,PA10
D13,PG9
DAC1,PA4
DAC2,PA5
LED1,PB2
LED2,PA10
LED3,PA9
SW,PB9
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
UART1_TX,PA9
UART1_RX,PA10
UART6_TX,PC6
UART6_RX,PC7
I2C1_SDA,PB9
I2C1_SCL,PB8
ETH_MDC,PC1
ETH_MDIO,PA2
ETH_RMII_REF_CLK,PA1
ETH_RMII_CRS_DV,PA7
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TX_EN,PG11
ETH_RMII_TXD0,PG13
ETH_RMII_TXD1,PG14
SWDIO,PA13
SWDCLK,PA14
PA0,PA0
